height,bip158_bytes
709656,35531
709657,19793
709658,10550
709659,537
709660,27123
709661,11983
709662,28784
709663,15533
709664,1892
709665,33715
709666,30928
709667,14124
709668,3041
709669,9099
709670,34767
709671,32724
709672,21951
709673,19217
709674,33494
709675,8594
709676,11225
709677,22163
709678,34833
709679,30324
709680,28833
709681,46415
709682,3803
709683,22239
709684,33282
709685,21338
709686,32258
709687,33309
709688,1254
709689,1846
709690,28630
709691,9246
709692,36697
709693,25519
709694,38600
709695,25934
709696,38
709697,40103
709698,24898
709699,27164
709700,3063
709701,17218
709702,8489
709703,30189
709704,41422
709705,29257
709706,20145
709707,33592
709708,34832
709709,39593
709710,35033
709711,26653
709712,31305
709713,28022
709714,24990
709715,34422
709716,19848
709717,27033
709718,22409
709719,14428
709720,16080
709721,8530
709722,3860
709723,8193
709724,38
709725,2291
709726,27958
709727,11227
709728,14995
709729,1893
709730,31388
709731,10064
709732,4617
709733,8823
709734,39848
709735,20572
709736,40875
709737,40132
709738,36709
709739,34072
709740,33046
709741,23451
709742,2300
709743,19235
709744,6178
709745,7070
709746,15110
709747,11544
709748,18066
709749,16619
709750,12499
709751,14018
709752,23106
709753,3729
709754,37424
709755,27401
709756,38607
709757,32298
709758,13337
709759,3162
709760,10131
709761,605
709762,32525
709763,26513
709764,19467
709765,16333
709766,26058
709767,33006
709768,29279
709769,20728
709770,29982
709771,3727
709772,14230
709773,33894
709774,13713
709775,35991
709776,15938
709777,2569
709778,1643
709779,31391
709780,23644
709781,4723
709782,26416
709783,25728
709784,25181
709785,22393
709786,13256
709787,7726
709788,26337
709789,8750
709790,9971
709791,1640
709792,29742
709793,17560
709794,33050
709795,28638
709796,33469
709797,34596
709798,28605
709799,33952
709800,32926
709801,35699
709802,32182
709803,18069
709804,30386
709805,28414
709806,26983
709807,28434
709808,29064
709809,25872
709810,31034
709811,27292
709812,25218
709813,23531
709814,29475
709815,23234
709816,19964
709817,25050
709818,22587
709819,21645
709820,27284
709821,22450
709822,33487
709823,31160
709824,30282
709825,33174
709826,33425
709827,24012
709828,35514
709829,26892
709830,26841
709831,37202
709832,29945
709833,32210
709834,23107
709835,29352
709836,36699
709837,44917
709838,25494
709839,26486
709840,29474
709841,30756
709842,33111
709843,35387
709844,35922
709845,31711
709846,29744
709847,28248
709848,29546
709849,27369
709850,35248
709851,20412
709852,28736
709853,22835
709854,14706
709855,26951
709856,25640
709857,23501
709858,36533
709859,28586
709860,34416
709861,37734
709862,33534
709863,36263
709864,34435
709865,36436
709866,30734
709867,34177
709868,30536
709869,38154
709870,29651
709871,25485
709872,33373
709873,31135
709874,36831
709875,32612
709876,32346
709877,35938
709878,36439
709879,31733
709880,29698
709881,33150
709882,17798
709883,36675
709884,36791
709885,39243
709886,37376
709887,31336
709888,23918
709889,32715
709890,33984
709891,31080
709892,35305
709893,38
709894,35332
709895,36729
709896,27995
709897,29737
709898,23151
709899,32181
709900,20762
709901,33857
709902,26353
709903,39309
709904,37094
709905,35756
709906,22267
709907,33538
709908,37409
709909,27012
709910,27509
709911,35649
709912,18912
709913,37823
709914,12275
709915,36268
709916,28514
709917,22251
709918,19760
709919,2809
709920,38
709921,12936
709922,13327
709923,886
709924,6939
709925,45732
709926,21541
709927,20565
709928,20627
709929,38783
709930,34723
709931,20769
709932,27213
709933,34315
709934,27122
709935,38312
709936,28643
709937,17860
709938,19553
709939,27353
709940,35544
709941,24940
709942,36518
709943,29933
709944,34683
709945,32158
709946,33869
709947,27905
709948,17511
709949,1240
709950,12163
709951,31990
709952,34791
709953,35243
709954,27686
709955,32950
709956,32977
709957,31686
709958,27350
709959,7722
709960,32279
709961,33729
709962,35728
709963,30469
709964,26224
709965,22917
709966,27833
709967,28273
709968,31603
709969,32351
709970,20245
709971,17947
709972,10113
709973,28313
709974,10239
709975,8010
709976,26484
709977,24860
709978,7310
709979,11794
709980,25753
709981,24847
709982,11484
709983,29101
709984,24272
709985,24802
709986,38664
709987,28818
709988,27909
709989,47605
709990,26883
709991,7390
709992,4953
709993,27336
709994,8997
709995,18745
709996,29669
709997,23207
709998,33565
709999,33755
710000,37529
710001,35508
710002,33377
710003,35039
710004,29029
710005,29852
710006,28754
710007,35979
710008,29678
710009,39611
710010,32058
